"Carimbo de data/hora","This space is automatically filled. Please don't change this value. This in a unique ID, for research purposes.","Gender","Age","Academic Qualifications","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects  your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Can you indentify the worst part of using our application?","And the best part?","Can you select the image that better represents the 𝗲𝗹𝗲𝘁𝗿𝗶𝗰 𝗳𝗶𝗲𝗹𝗱?","Do you think, this is a good representation?","If you answer no, please indicate what you would change.","Can you select the image that better  represent 𝗺𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗳𝗶𝗲𝗹𝗱?","Do you think, this is a good representation?","If you answer no, please indicate what you would change.","Can you describe what happens when you change the tension?","Can you describe what happens when you change the intensity?","Can you describe what happens when you change the rotation?","Please select the options that best reflect what this application is about.","Feel free to use this space to give any extra information that you feel necessary. Every feedback is welcome."
"2020/07/28 4:07:55 da tarde CET","2020-07-28_4246137_8712148.txt","Female","19-25","Degree","4","4","1","5","1","7","7","4","4","3","7","1","4","4","1","4","3","2","4","6","3","7","1","4","3","5","Not knowing the scientific theory behind the subject of the game. ","It felt like a good educational tool for school.","Option 2","Yes","","Option 2","Yes","","it increases/decreases the depth of the field.","it strenghthens or weakens the field.","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/07/28 4:10:01 da tarde CET","2020-07-28_5708740_1834823.txt","Male","19-25","Degree","6","6","2","2","2","4","6","4","4","2","6","2","6","6","3","6","4","2","3","6","2","6","2","3","1","6","","","Option 3","Yes","","Option 2","Yes","","","","","Electrons are manipulated throw a magnetic field",""
"2020/07/28 6:31:39 da tarde CET","2020-07-28_1245388_7407616.txt","Male","19-25","Bachelor’s degree","7","7","3","1","1","5","4","2","6","4","6","2","4","6","3","7","2","2","1","7","1","7","1","1","1","5","","","Option 2","Yes","","Option 3","Yes","","","","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/07/28 7:10:50 da tarde CET","2020-07-28_0018750_6175478.txt","Male","19-25","Bachelor’s degree","4","5","2","2","3","5","5","3","3","3","6","2","5","5","4","5","4","3","3","6","3","6","3","3","2","5","The graphics could be better","","Option 3","Yes","","Option 2","Yes","","it deviates the beam from the point of creation","the beam gets bigger/smaller","it opens/closes the loop created by the beam","Electric coils generate a magetic field;Tension has no impact on the electron beam",""
"2020/07/28 7:16:19 da tarde CET","2020-07-28_3053526_4574365.txt","Male","26-40","Master’s degree","6","3","2","3","3","3","3","3","3","2","5","4","3","5","3","5","3","4","4","5","4","4","4","4","4","4","it hard in the first steps to achieve what is asked","","Option 3","Yes","","Option 2","Yes","","The point where the field starts differs","the fields gets smaller or bigger depending on the intensity value","it changes the dimension of the electric field loop","Tension has no impact on the electron beam",""
"2020/07/28 7:44:14 da tarde CET","2020-07-28_4665567_1725438.txt","Female","19-25","Master’s degree","4","5","3","3","2","5","6","4","5","3","5","2","5","5","4","5","4","3","3","4","3","5","3","3","3","4","","It is interactive, you change something and you see the result. ","Option 1","No","","Option 3","No","","","","","Electric coils generate a magetic field",""
"2020/07/29 9:53:55 da tarde CET","2020-07-29_4512726_7768377.txt","Male","26-40","Master’s degree","3","4","5","6","5","2","3","5","5","3","2","5","1","3","3","3","4","5","5","3","6","3","7","7","6","5","UI, too overwhelming, and the onboarding needs work, the learning curve is too steep, at the later levels i still didn't know what each of the sliders did, so i was experimenting a lot, and was bombarded with huge UI pop ups telling me what to do, and not letting me figure out the answer by myself, maybe starting with just one slider, and introduce the other mechanics one by one, first in a level by themselves, then combined with the previous","The animations and general concept, it's a nice idea to iterate","Option 3","No","I would add some sort of lightning effect, even if wrong, that's the intrinsic representation of electricity that many have","Option 2","Yes","","","","","Electric coils generate a magetic field",""
"2020/07/30 4:59:58 da tarde CET","2020-07-30_7857066_3256606.txt","Male","19-25","Master’s degree","5","6","5","4","3","4","5","5","2","3","6","2","6","6","4","5","1","4","3","6","3","5","3","4","3","5","Finding out what was needed to do","the help given","Option 2","Yes","","Option 3","Yes","","","","","Electric coils generate a magetic field;Intensity through the coils have no impact on the radius of the circumference",""
"2020/07/31 12:59:09 da tarde CET","2020-07-31_8675233_0702853.txt","Female","19-25","Bachelor’s degree","7","5","2","2","1","6","7","4","4","2","6","2","6","6","5","6","2","2","2","6","3","6","2","2","2","6","Trying to understand the theoretical concepts behind the experiment ","Learning and interacting at the same time.","Option 3","Yes","","Option 2","Yes","","It increased the radius.","It made a line.","It made a circle.","Electrons are manipulated throw a magnetic field",""
"2020/07/31 3:36:18 da tarde CET","2020-07-31_0508114_6071781.txt","Male","19-25","Master’s degree","4","5","3","2","4","4","5","5","5","3","3","3","5","5","4","5","4","4","4","4","5","3","4","3","3","4","The achievments table was too slow to pop-up. so i'd click again and it would close","I like Trains","Option 2","Yes","","Option 3","No","Not sure but this requires technical knowledge","","","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/07/31 3:46:47 da tarde CET","2020-07-31_2861528_5427756.txt","Female","14-18","9th grade","5","7","2","1","2","5","5","4","1","1","6","1","6","6","5","5","1","2","2","7","2","7","1","4","1","6","It's a little bit confusing to know what to do at first, but then it gets easier.","It's very easy to use. It helps learning about physics.","Option 2","Yes","","Option 2","Yes","","","It changes the radius of the electron beam.","","Electrons are manipulated throw a magnetic field",""
"2020/07/31 4:17:18 da tarde CET","2020-07-31_4174613_4033115.txt","Male","14-18","9th grade","7","7","1","3","1","6","6","5","1","6","6","1","7","6","2","6","1","2","2","7","1","7","1","2","1","1","No","I can learn new things with your application","Option 2","Yes","","Option 2","Yes","","IDK","IDK","The circle tuns bigger","Electric coils generate a magetic field",""
"2020/08/03 3:03:10 da tarde CET","2020-08-03_7384006_3574111.txt","Female","26-40","Bachelor’s degree","5","2","3","4","2","5","6","4","2","4","6","3","2","4","3","5","1","4","4","6","5","5","1","5","5","3","I had a little trouble changing the values with the -/+ option and I feel like the game itself should have shown what I was doing (or teach me what it was). Things like telling me to make a line made no sense to me, because I don't know which options that requires. And maybe it's just me, but I'm not really sure what I learned. The aesthetics could be better too.","It was very nicely made in general. All the options were clear and the help/achievement system was great. ","Option 2","Yes","","Option 3","No","I don't know, sorry","It changed the spiral somehow","It change the spiral size","The circel was vague or not","Electrons are manipulated throw a magnetic field","It might be because I don't have a science background, but I was very unsure about what I was doing. Some more explanation about what the Cathode Ray was, would have been appreciated."
"2020/08/03 3:56:53 da tarde CET","2020-08-03_6127066_8401875.txt","Male","19-25","Bachelor’s degree","6","4","2","2","1","5","5","4","4","2","5","2","5","6","6","6","3","2","1","6","3","7","2","2","1","7","","","Option 2","Yes","","Option 3","Yes","","","","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/08/04 12:58:23 da manhã CET","2020-08-04_5087427_1830035.txt","Male","26-40","Master’s degree","6","7","2","2","2","6","6","6","2","3","6","2","7","7","2","7","2","2","1","6","6","6","3","3","2","2","Some unexpected behaviour while all the values apearing correct but the achievements not being unlocked","Good simulation of a cathode tube.","Option 3","Yes","","Option 2","Yes","","","","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/08/06 1:04:11 da manhã CET","2020-08-06_0085831_1264236.txt","Male","26-40","12th grade / High School","4","6","6","2","4","2","2","6","1","6","4","5","6","2","2","3","6","5","3","4","3","5","5","6","5","2","Graphics, pacing and some UI quirks","Fun to play with cathode ray :)","Option 2","Yes","","Option 2","Yes","","No, cant remember","No, cant remember","No, cant remember","Electric coils generate a magetic field",""
"2020/08/08 1:39:55 da manhã CET","2020-08-08_3266447_2616501.txt","Female","41-60","Master’s degree","7","7","1","1","1","7","7","5","4","1","4","1","4","4","4","5","5","3","2","6","2","6","3","3","3","7","","","Option 2","Yes","","Option 2","Yes","","I dont know","I dont know","I dont know","Intensity through the coils have no impact on the radius of the circumference",""
"2020/08/15 10:05:19 da tarde CET","2020-08-15_2065020_3456262.txt","Male","19-25","Bachelor’s degree","4","3","5","3","2","4","5","6","1","5","4","4","6","5","3","4","4","3","3","4","4","6","5","4","3","4","","","Option 2","Yes","","Option 3","Yes","","","","","Electric coils generate a magetic field",""
"2020/09/01 10:05:53 da tarde CET","2020-09-01_1304775_8684247.txt","Male","19-25","Master’s degree","7","7","1","1","1","7","7","7","1","2","7","1","7","7","6","7","1","1","1","7","1","7","1","1","1","7","","","Option 2","Yes","","Option 3","Yes","","A espiral muda","O campo magnetico aumenta de força","A ampola roda e muda a figura feita","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/09/01 10:11:39 da tarde CET","2020-09-01_2337787_5441625.txt","Male","19-25","Bachelor’s degree","6","6","6","2","2","6","7","1","1","1","7","1","7","7","7","7","1","1","1","7","1","7","1","1","1","7","","","Option 2","Yes","","Option 3","Yes","","n","","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/09/01 10:22:52 da tarde CET","2020-09-01_7066564_6467637.txt","I prefer not to say","26-40","PhD","7","7","1","1","1","7","7","7","1","1","7","1","7","7","7","7","1","1","1","7","1","7","1","1","1","7","","","Option 2","Yes","","Option 3","Yes","","","","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/09/01 11:07:29 da tarde CET","2020-09-01_7273444_2676021.txt","I prefer not to say","26-40","PhD","7","7","1","1","1","7","7","7","1","1","7","1","7","7","7","7","1","1","1","7","1","7","1","1","1","7","","","Option 2","Yes","","Option 3","Yes","","","","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/09/01 11:15:41 da tarde CET","2020-09-01_7537388_7372887.txt","Male","19-25","Master’s degree","7","7","1","1","1","7","7","7","1","1","7","1","7","7","7","7","1","1","1","7","1","7","1","1","1","7","","","Option 2","Yes","","Option 3","Yes","","","","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/09/01 11:37:46 da tarde CET","2020-09-01_1474622_5833688.txt","Male","19-25","12th grade / High School","6","5","3","4","4","5","5","4","3","3","5","3","5","4","5","5","3","3","3","6","3","5","4","3","3","3","no","neither","Option 2","Yes","","Option 3","Yes","","no","no","no","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/09/02 10:51:39 da manhã CET","2020-09-02_5002153_5173200.txt","Male","19-25","Master’s degree","7","7","1","1","1","7","7","7","1","1","7","1","7","7","7","7","1","1","1","7","7","7","1","1","1","7","","","Option 2","Yes","","Option 3","Yes","","","","","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
