"Carimbo de data/hora","This space is automatically filled. Please don't change this value. This in a unique ID, for research purposes.","Gender","Age","Academic Qualifications","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Can you indentify the worst part of using our application?","And the best part?","Feel free to use this space to give any extra information that you feel necessary. Every feedback is welcome."
"2020/11/05 11:38:31 da manhã GMT","2020-11-05_0787637_3323276.txt","Male","19-25","Bachelor’s degree","6","7","2","2","1","6","7","6","1","3","7","2","6","5","4","6","1","1","1","5","1","5","1","2","1","5","the image kept flickering and the manual value input was confusing","the information is interesting and well visualized ",""
"2020/11/05 11:59:57 da manhã GMT","2020-11-05_2228137_8573824.txt","Female","19-25","Bachelor’s degree","6","5","3","4","2","4","4","4","3","3","6","2","3","5","4","5","2","3","2","5","5","6","5","3","3","4","The AR simulation was flickering all the time.","the simulation of the lines and circles from the magnetic fields.",""
"2020/11/05 12:23:15 da tarde GMT","2020-11-05_6577527_7204614.txt","Female","19-25","Bachelor’s degree","5","5","1","4","3","5","5","3","5","1","5","2","4","5","7","6","3","2","2","5","5","4","4","3","2","7","some bugs when typing the values for the parameters","super innovative! my first experience with augmented reality. really nice",""
"2020/11/05 12:27:23 da tarde GMT","2020-11-05_7787282_1815037.txt","Female","19-25","Bachelor’s degree","6","5","2","3","2","6","7","5","3","1","6","2","4","5","6","6","1","2","2","6","4","6","3","2","2","7","","A interface está bem concebida, uniforme e com todas as funcionalidades necessárias a funcionar corretamente.",""
"2020/11/05 3:02:16 da tarde GMT","2020-11-05_8746448_7227345.txt","Female","19-25","Bachelor’s degree","6","7","1","5","1","5","7","6","1","1","7","2","5","5","7","6","1","1","1","5","2","6","1","1","2","7","Estar com tablet na mão durante algum tempo","Inovadora",""
"2020/11/09 9:14:42 da manhã GMT","2020-11-09_0765376_6457187.txt","Female","26-40","PhD","7","7","1","1","1","7","7","7","1","2","7","1","7","7","7","7","1","1","1","7","1","7","1","1","1","7","","",""
"2020/11/09 9:19:20 da manhã GMT","2020-11-09_3170627_8730007.txt","Female","26-40","Master’s degree","7","7","1","1","1","7","7","7","1","1","7","1","7","7","1","7","1","1","1","7","1","7","1","1","1","7","","it gives hint when i was stucked",""
"2020/11/09 10:23:00 da manhã GMT","2020-11-09_3372727_8643802.txt","Male","19-25","Bachelor’s degree","6","6","2","2","2","5","6","4","2","1","7","2","6","6","6","6","2","2","2","5","3","5","3","3","3","6","ter que segurar no tablet em linha com o objeto","a parte de realidade virtual criada em torno do objeto",""
"2020/11/09 10:28:59 da manhã GMT","2020-11-09_5317335_1341748.txt","Female","19-25","Master’s degree","6","5","2","3","3","5","6","3","2","4","6","2","5","5","6","6","1","3","2","6","2","6","2","2","1","5","É dificil ver o desenho, muitos estimulantes visuais","é engraçado ver a frequencia magnetica mudar",""
"2020/11/09 10:42:07 da manhã GMT","2020-11-09_6252711_5520552.txt","Male","19-25","Master’s degree","6","4","2","4","2","5","5","5","4","3","5","2","5","5","5","5","4","3","4","4","3","5","2","3","3","5","Changing the values","The interactivity",""
